GENEID	R3452	R3462	R3485	R2869	R3098	R3467
KIAA2013	2189	2502	2161	2108	537	1535
PLOD1	2125	3176	2686	2351	1323	1556
MFN2	10632	12856	12564	12136	2754	11854
MIIP	2951	3107	3377	966	367	669
TNFRSF8	0	0	2	4	4	4
TNFRSF1B	273	379	383	320	261	286
MIR4632	0	0	1	0	0	0
VPS13D	9557	14352	14885	7341	1497	11018
SNORA59B	0	0	0	0	0	0
SNORA59A	0	0	0	0	0	0
DHRS3	257	339	125	1021	816	428
AADACL4	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0
C1orf158	0	0	2	0	2	0
PRAMEF12	0	0	0	0	0	0
PRAMEF1	0	0	0	0	0	0
PRAMEF11	0	0	0	0	0	0
LOC649330	0	0	0	0	0	0
HNRNPCL1	0	0	0	0	0	0
PRAMEF2	0	0	0	0	0	0
PRAMEF4	0	0	0	0	0	0
PRAMEF10	0	0	0	0	0	0
PRAMEF8	0	0	0	0	0	0
PRAMEF7	0	0	0	0	0	0
PRAMEF6	0	0	0	0	0	0
PRAMEF22	0	0	0	0	0	0
PRAMEF5	0	0	0	0	0	0
LOC440563	1	0	3	1	0	0
PRAMEF3	0	0	0	0	0	0
PRAMEF15	0	0	0	0	0	0
PRAMEF9	0	0	0	0	0	0
PRAMEF14	0	0	0	0	0	0
PRAMEF13	0	0	0	0	0	0
PRAMEF19	0	0	0	0	0	0
PRAMEF18	0	0	0	0	0	0
PRAMEF16	0	0	0	0	0	0
PRAMEF20	0	0	0	0	0	0
PRAMEF21	0	0	0	0	0	0
PRAMEF17	0	0	0	0	0	0
LRRC38	2	2	2	152	10	106
PDPN	2151	2436	219	367	112	186
PRDM2	14644	17666	19352	7811	1063	10771
KAZN	4992	4112	7003	4737	489	5314
C1orf126	51	111	72	60	32	48
TMEM51	100	173	176	237	262	141
FHAD1	23	35	14	87	15	84
EFHD2	910	1060	460	10476	1280	6061
CTRC	4	5	0	5	2	4
CELA2A	0	8	2	9	2	9
CELA2B	25	45	36	35	9	68
CASP9	478	865	561	833	376	643
DNAJC16	2218	3413	3498	2046	343	2803
AGMAT	35	58	93	195	20	243
DDI2	370	463	416	58	10	226
RSC1A1	273	374	404	114	27	200
PLEKHM2	8199	8891	7893	16410	13696	12623
SLC25A34	547	580	381	265	109	110
TMEM82	4	7	4	1	1	2
FBLIM1	2748	2370	3132	115	173	147
UQCRHL	1013	1294	1494	552	195	515
FLJ37453	706	733	572	398	145	285
SPEN	29360	43806	33027	4397	1431	5777
ZBTB17	4741	4851	3421	1978	437	1483
C1orf64	102	162	116	124	407	153
HSPB7	10	13	17	47	188	68
CLCNKA	1	13	8	10	2	4
CLCNKB	12	4	14	8	0	6
FAM131C	143	196	293	380	139	321
EPHA2	245	358	220	135	321	147
ARHGEF19	189	192	88	38	38	25
RSG1	409	397	432	367	162	298
FBXO42	3172	4034	3945	1201	290	1356
C1orf144	4837	5903	4008	2568	2071	1362
SPATA21	36	29	29	0	2	7
NECAP2	2150	2836	2112	1082	777	553
CROCCP3	4837	6105	4850	1024	329	1307
MIR3675	0	1	0	0	0	0
NBPF1	11457	12268	16124	1152	613	896
CROCCP2	5040	5677	6607	2230	711	1259
MST1P2	426	260	360	392	78	79
ESPNP	7	8	2	23	10	8
MST1P9	227	271	174	133	35	41
CROCC	8229	9080	4372	1935	717	1548
MFAP2	1208	2015	422	4	10	11
ATP13A2	11890	11866	14535	14048	1681	12788
SDHB	2399	2650	2971	3649	993	2846
PADI2	177	135	190	12692	4162	3885
PADI1	0	0	0	2	0	0
PADI3	0	0	0	0	0	0
PADI4	2	2	0	35	18	10
PADI6	0	0	0	0	0	0
RCC2	9020	12468	5652	2714	746	2375
ARHGEF10L	5644	8288	6110	2391	1163	1755
ACTL8	10	4	24	6	0	10
IGSF21	9782	4730	9010	5106	687	4105
KLHDC7A	4	4	0	0	2	0
PAX7	6	4	8	290	12	460
TAS1R2	0	0	0	0	0	0
ALDH4A1	710	1108	696	4002	4184	1214
MIR4695	0	0	0	0	0	0
IFFO2	1803	1986	4272	1813	482	1929
UBR4	24255	36522	36356	7511	1941	10102
KIAA0090	6101	7151	7203	2360	427	3059
MRTO4	2847	2637	3004	2101	717	1662
AKR7L	162	145	125	83	21	80
AKR7A3	78	82	69	64	85	33
LOC100506730	844	833	977	618	253	338
AKR7A2	1817	1731	1359	1447	802	835
PQLC2	1303	1116	1066	824	264	585
CAPZB	10527	11379	12902	10672	2546	8209
MINOS1	1607	2102	3577	3196	1515	2631
C1orf151-NBL1	0	0	0	0	0	0
NBL1	10	27	34	36	4	39
HTR6	15	33	63	164	6	257
TMCO4	34	26	25	156	122	120
RNF186	0	0	0	0	0	0
OTUD3	4811	5440	4410	1715	394	2304
PLA2G2E	0	1	0	0	0	0
PLA2G2A	0	0	0	0	0	0
PLA2G5	0	0	4	355	611	158
PLA2G2D	0	0	0	0	0	2
PLA2G2F	0	0	0	0	0	0
PLA2G2C	0	0	1	0	0	1
UBXN10	69	216	408	373	52	868
VWA5B1	101	74	7	4	4	13
LOC339505	50	51	34	108	10	99
CAMK2N1	12247	15132	24281	43945	13807	53107
MUL1	1900	2229	2251	1472	458	1297
FAM43B	130	157	327	920	182	894
CDA	14	28	16	37	47	24
PINK1	7210	7495	12014	24690	7163	23175
DDOST	7837	7739	7390	4016	1296	3431
KIF17	103	249	472	1841	275	2100
SH2D5	73	61	281	3218	436	3303
HP1BP3	38319	44070	42036	10556	3329	9739
EIF4G3	16790	20111	24761	10239	1431	14572
ECE1	2330	3139	2907	2743	1831	2391
LOC100506801	17	32	26	2	0	6
NBPF3	810	1568	1831	182	47	372
ALPL	342	503	391	1621	866	1399
RAP1GAP	7301	4854	6971	19160	2044	16810
USP48	9591	11152	11189	4151	788	4558
LDLRAD2	7	10	1	1	3	8
HSPG2	1045	2728	1869	410	252	482
CELA3B	0	0	0	0	0	0
CELA3A	2	0	0	0	0	0
LINC00339	504	597	768	279	78	194
CDC42	27602	30245	44195	10904	2430	9719
WNT4	1667	624	1424	72	44	119
ZBTB40	6346	8793	7022	1556	515	1669
EPHA8	1232	259	129	69	6	59
C1QA	104	210	142	215	28	122
C1QC	211	374	186	340	24	137
C1QB	132	186	59	308	22	154
EPHB2	11207	11297	12146	882	200	1156
MIR4684	0	0	1	0	0	0
MIR4253	0	1	0	0	0	0
LOC729059	7	5	5	6	0	5
KDM1A	19099	21857	19072	2781	666	3340
MIR3115	0	1	1	0	0	0
LUZP1	2300	3150	2508	4923	713	8343
HTR1D	70	115	26	71	2	48
HNRNPR	26750	32423	31857	6846	1790	5531
ZNF436	5970	8103	10205	1576	301	1952
C1orf213	736	745	524	451	131	228
TCEA3	83	158	99	106	122	95
ASAP3	1555	1744	833	1274	655	666
E2F2	939	925	40	6	4	2
ID3	478	518	753	633	1152	583
MDS2	0	0	0	2	2	3
RPL11	45291	51150	37769	7667	6118	5345
TCEB3	5894	7178	6710	1431	487	1437
LOC100506963	69	81	80	38	10	32
PITHD1	5219	6555	7419	8857	1308	6634
LYPLA2	2667	2861	3112	1359	450	1060
GALE	1535	1775	1760	1011	257	739
HMGCL	404	535	384	997	477	514
FUCA1	883	899	1360	682	156	612
CNR2	0	0	2	0	0	0
MIR378F	0	0	0	0	0	0
PNRC2	258	750	786	533	38	484
SRSF10	1647	2075	1950	475	120	451
MYOM3	0	0	0	0	0	2
IL22RA1	0	0	0	0	0	4
IL28RA	10	5	9	48	36	50
LOC284632	0	0	0	0	0	0
GRHL3	3	0	6	3	2	13
C1orf201	463	170	856	1516	218	1556
NIPAL3	1540	1406	1399	9310	1222	10185
RCAN3AS	0	0	2	0	0	0
RCAN3	659	919	1607	159	43	182
C1orf130	0	2	2	16	0	4
SRRM1	11278	11902	10053	5231	1082	4214
CLIC4	13177	19414	14088	7729	3303	4553
RUNX3	8	11	4	26	111	36
SYF2	3108	4172	3600	2050	1000	1390
C1orf63	5949	6932	6022	3250	1187	2643
RHD	94	163	90	40	18	36
TMEM50A	8629	10127	14783	5503	1660	3611
RHCE	12	16	18	131	24	42
TMEM57	10788	11792	12381	2295	355	2050
LDLRAP1	245	315	213	1342	293	509
MAN1C1	1566	1915	2555	2848	395	3205
SEPN1	13936	13996	10901	4479	2890	3626
FAM54B	4275	5189	5500	4050	1473	3169
LOC646471	904	1323	1141	572	80	610
C1orf135	120	177	105	89	18	100
PAQR7	878	1678	2056	940	311	732
STMN1	139486	188516	237490	50911	4237	37150
MIR3917	0	0	0	0	0	0
PAFAH2	353	573	294	480	249	305
EXTL1	495	374	526	4855	747	5765
SLC30A2	0	0	4	18	2	8
TRIM63	0	0	0	0	4	4
PDIK1L	7509	9657	13169	1262	147	1098
FAM110D	72	91	63	64	44	35
ZNF593	634	527	455	382	128	287
CNKSR1	935	1267	796	266	68	245
CATSPER4	12	3	8	3	0	2
CEP85	2459	2778	2571	1139	145	930
SH3BGRL3	3573	4169	4476	3937	1493	2471
UBXN11	1035	1010	1027	1357	511	1360
CD52	2	0	1	32	15	24
AIM1L	17	47	31	0	0	2
ZNF683	0	0	2	2	6	9
LIN28A	2	7	0	0	0	0
DHDDS	2520	3157	3310	2057	478	1989
HMGN2	20321	20877	10589	3150	1926	2199
RPS6KA1	417	428	375	621	83	390
MIR1976	0	0	0	0	0	0
ARID1A	24587	31340	26242	3842	1008	4548
PIGV	548	534	458	603	260	419
ZDHHC18	3048	2887	2774	1194	304	954
SFN	12	10	8	0	4	0
GPN2	1662	1658	1329	756	134	619
GPATCH3	1389	1460	1277	853	186	788
NR0B2	1	0	2	0	0	0
NUDC	6578	6671	6736	8307	2225	6489
C1orf172	12	20	7	14	0	6
TRNP1	1489	1210	2362	1693	336	1547
FAM46B	10	9	6	35	26	20
SLC9A1	1423	1431	1460	3306	705	3447
WDTC1	6323	6854	7200	6308	1241	5393
TMEM222	2594	2878	2773	2474	1125	1888
LOC644961	483	560	462	29	21	44
SYTL1	6	14	9	44	38	40
MAP3K6	373	354	452	642	332	493
FCN3	19	4	4	12	2	8
CD164L2	0	0	2	10	0	10
GPR3	65	66	108	258	103	411
WASF2	5539	7424	4533	3274	1653	1618
AHDC1	13515	11040	10462	3101	733	3325
FGR	105	135	147	269	211	195
IFI6	561	651	889	2144	1923	1750
FAM76A	1298	1243	1388	981	234	784
STX12	8417	11196	16441	7091	1888	6682
PPP1R8	4795	5613	6582	2412	670	1556
SCARNA1	4	8	12	4	0	0
C1orf38	268	234	306	582	58	448
RPA2	2980	3603	3389	2444	636	1812
SMPDL3B	14	21	12	20	0	41
XKR8	702	903	842	198	164	166
EYA3	3914	5294	3464	1444	318	1334
LOC653566	954	1206	1315	814	446	552
PTAFR	144	148	92	96	4	60
DNAJC8	7578	9550	9923	6395	1572	4603
ATPIF1	4343	4090	5109	4162	1374	4611
SESN2	932	974	1214	767	231	763
MED18	700	767	904	411	96	397
PHACTR4	5754	7892	6217	1335	472	1052
RCC1	2983	3253	2261	295	79	230
SNHG3	1441	1471	1764	386	144	267
TRNAU1AP	1981	2373	2436	732	243	442
SNHG12	1084	986	956	216	130	180
SNORD99	50	78	62	16	6	11
SNORA61	124	126	160	58	20	40
SNORA44	72	72	69	22	1	12
SNORA16A	83	92	79	20	6	18
RAB42	30	83	57	0	3	9
TAF12	1050	1254	1182	649	262	449
RNU11	18	24	4	3	0	0
GMEB1	3253	3349	3137	321	56	365
YTHDF2	8660	9604	9884	3385	574	3015
OPRD1	7	2	6	51	3	176
EPB41	8195	9818	7590	752	227	769
TMEM200B	14	55	90	125	91	255
SRSF4	11179	12961	10284	4475	1279	3548
MECR	1120	985	1237	1567	414	1400
PTPRU	5139	6030	8228	2615	285	2276
MATN1	13	74	101	31	7	25
LOC100129196	11	5	18	36	9	19
LAPTM5	503	615	354	870	183	390
MIR4420	1	0	0	0	0	0
SDC3	35555	39159	55171	17535	11280	13799
PUM1	18036	21470	20897	4629	1318	6191
SNORD103B	0	0	0	0	0	0
SNORD103A	0	0	0	0	0	0
SNORD85	5	1	3	0	0	0
PRO0611	44	63	59	2	2	7
NKAIN1	21257	15312	18587	652	57	437
SNRNP40	2807	2617	2397	890	195	627
ZCCHC17	3459	5050	5931	4092	1118	3119
FABP3	2318	3510	8375	5064	420	3585
SERINC2	2179	1585	774	15	18	28
LOC149086	0	0	0	0	0	0
LOC284551	0	0	0	0	0	0
TINAGL1	76	82	162	612	1015	483
HCRTR1	185	443	958	21	12	124
PEF1	2183	2537	2536	3824	1079	3206
COL16A1	2213	1688	1311	5129	2628	2941
BAI2	39697	25447	27086	22937	3777	27322
MIR4254	0	7	6	0	0	0
SPOCD1	1	5	6	35	2	26
PTP4A2	13018	13983	18546	13714	4735	9122
KHDRBS1	30142	29116	28223	4991	1445	5204
TMEM39B	2196	1979	1733	753	236	620
KPNA6	9305	11025	11537	5007	790	6563
TXLNA	7034	7541	5824	2517	817	2160
CCDC28B	2883	3035	3490	369	275	282
IQCC	749	961	804	413	110	406
DCDC2B	236	290	286	184	41	143
TMEM234	707	803	813	330	112	392
EIF3I	7832	8846	7754	4943	1343	3370
MTMR9LP	1139	1242	1719	394	175	298
FAM167B	277	252	146	30	17	6
LCK	2	4	4	8	57	26
HDAC1	2593	4337	2215	1325	881	639
MARCKSL1	83511	92274	94915	15199	5621	5685
LOC100128071	137	127	83	86	101	44
TSSK3	819	807	354	139	29	107
BSDC1	10786	11925	9878	6806	1868	5630
ZBTB8B	1759	3156	3252	68	28	86
ZBTB8A	5144	5669	7218	572	140	739
ZBTB8OS	551	628	641	675	239	552
RBBP4	21656	25819	20959	4518	1342	4822
SYNC	80	78	119	76	50	73
KIAA1522	7534	7580	7231	2814	776	2736
YARS	5362	6028	8855	8888	957	9085
S100PBP	3450	5561	5171	1321	377	884
FNDC5	1708	1460	1749	2172	624	2589
HPCA	5513	1136	2027	10781	2533	12859
TMEM54	253	99	117	1546	907	809
RNF19B	4206	4299	5839	1257	186	1569
AK2	6043	6487	5028	2870	1064	1951
ADC	1837	797	899	1925	301	1707
TRIM62	1225	1310	1428	872	264	624
ZNF362	8027	7755	7798	2041	811	1865
PHC2	9474	10980	6747	4290	1153	3243
MIR3605	7	16	13	2	0	1
ZSCAN20	840	1058	798	105	31	173
CSMD2	12919	17194	21749	951	155	1585
HMGB4	2	8	6	0	0	0
LOC402779	8	6	15	0	0	0
C1orf94	55	69	54	17	0	9
GJB5	16	15	12	84	5	48
GJB4	2	3	12	5	0	5
GJB3	10	8	17	31	14	52
GJA4	206	328	390	116	385	114
C1orf212	1405	1922	1756	2534	553	2205
DLGAP3	944	1323	2523	5635	1048	9205
LOC653160	74	80	87	114	36	164
ZMYM6NB	126	171	137	244	133	175
ZMYM6	2268	3058	3086	1662	321	1620
ZMYM1	1763	2551	2279	338	109	261
SFPQ	43452	52242	45397	7323	2101	7417
ZMYM4	14349	16773	16671	3441	880	4563
KIAA0319L	4601	6014	5455	5686	1320	6073
NCDN	13159	14014	22623	51627	4957	51721
TFAP2E	498	484	524	409	81	287
PSMB2	5636	6271	6540	4865	892	3960
C1orf216	10058	10042	14780	9012	675	10046
CLSPN	1538	1491	279	130	19	235
EIF2C4	15195	17605	23123	1721	682	2014
EIF2C1	10773	12110	7325	1738	733	2570
EIF2C3	1997	2602	1698	216	90	308
TEKT2	1745	1674	1779	83	55	46
ADPRHL2	2635	2925	2806	1380	306	880
COL8A2	42	114	134	47	24	27
TRAPPC3	2387	2434	3055	1777	551	1736
MAP7D1	17744	19501	19370	18896	2117	15598
THRAP3	17480	21084	18883	5696	1730	6341
SH3D21	1173	927	779	375	54	611
FAM176B	429	328	276	249	177	196
STK40	5601	5268	5711	1942	769	1979
LSM10	846	965	1215	1140	441	893
OSCP1	454	509	678	818	154	842
MRPS15	948	1132	1273	1760	596	1260
CSF3R	127	184	52	279	6	131
GRIK3	22208	24788	29730	3841	334	4632
MIR4255	0	0	0	0	0	0
LOC728431	13	12	4	79	32	28
ZC3H12A	16	27	16	46	52	21
MEAF6	8318	10548	12903	5517	1015	5003
SNIP1	2020	2237	2279	593	119	675
DNALI1	1798	2025	2089	509	447	379
GNL2	3007	3355	3311	1604	344	1178
RSPO1	1	0	2	35	0	13
C1orf109	1459	1742	1509	918	199	741
CDCA8	991	1147	155	85	20	69
EPHA10	1538	1289	2877	1927	230	1750
MANEAL	4625	4802	4885	1598	331	1605
YRDC	1460	1607	1731	639	185	650
C1orf122	602	869	805	1763	1348	1109
MTF1	3052	3692	3575	1104	388	1136
INPP5B	1713	1868	1485	1420	503	1127
SF3A3	6222	7273	6746	2413	555	2412
FHL3	816	713	975	458	234	300
UTP11L	2449	2787	2914	1523	413	1188
POU3F1	3718	1701	2687	407	124	509
MIR3659	2	0	8	0	0	0
LOC339442	20	24	8	2	2	14
RRAGC	1657	2450	2804	951	200	989
GJA9-MYCBP	14	38	17	5	2	9
MYCBP	2	7	1	0	0	0
GJA9	0	0	0	0	0	0
RHBDL2	70	149	77	324	73	180
AKIRIN1	4892	6321	6339	4817	1214	4466
NDUFS5	6436	9569	8992	8676	2830	6586
MACF1	51862	101512	96569	18273	9662	19579
KIAA0754	1331	3282	2120	69	52	218
BMP8A	738	894	418	648	221	677
PPIEL	1217	1695	1238	434	108	326
PABPC4	7761	9560	9439	3009	802	2558
SNORA55	14	25	5	8	1	7
HEYL	269	374	420	220	839	155
NT5C1A	38	55	95	75	14	124
HPCAL4	4828	6135	12697	20571	3039	24770
PPIE	2947	3227	2944	1951	634	1427
BMP8B	191	157	195	174	92	146
OXCT2	2	4	4	42	6	29
TRIT1	2080	2433	2237	795	204	712
MYCL1	1553	1663	1299	79	28	74
MFSD2A	1112	1496	1134	827	693	636
CAP1	10192	12959	15466	7983	2708	7285
PPT1	5486	6441	6099	10449	2778	9357
RLF	6770	8137	8455	2172	361	2336
TMCO2	4	0	2	2	1	0
ZMPSTE24	3383	4349	4440	3287	908	2246
COL9A2	6654	3936	1388	4115	1647	1669
SMAP2	4527	5304	6949	7408	863	9811
ZNF643	3002	2877	3100	249	28	404
ZNF642	1003	1464	1676	252	125	277
DEM1	1486	1617	2098	296	65	312
ZNF684	220	506	408	346	76	157
RIMS3	6272	9263	12606	25038	3366	39944
LOC100130557	575	900	561	268	81	216
NFYC	4598	4468	4677	2253	523	1720
MIR30E	0	0	0	0	0	0
MIR30C1	1	0	0	0	0	0
KCNQ4	242	360	674	798	115	827
CITED4	30	21	24	337	60	280
CTPS	3926	3129	4177	1233	179	1291
LOC100507178	99	136	102	28	7	26
SLFNL1	57	48	55	10	2	6
SCMH1	3785	4510	5751	1772	550	1625
EDN2	10	4	8	2	0	0
HIVEP3	8340	6533	10742	1602	254	2143
GUCA2B	0	0	0	0	0	0
GUCA2A	0	0	0	0	0	1
FOXJ3	12440	12803	14963	5207	770	5890
RIMKLA	4168	4455	7120	4212	365	6747
ZMYND12	18	26	34	210	82	104
PPCS	950	963	1465	1520	409	1238
CCDC30	312	514	722	343	50	438
PPIH	1563	1827	1588	776	149	679
YBX1	91087	100209	119870	6572	3203	3546
CLDN19	7	26	10	2	0	0
LEPRE1	1845	2219	1624	583	222	483
C1orf50	987	1229	1634	479	162	453
LOC100129924	53	73	55	10	0	7
CCDC23	3495	3329	3161	615	197	409
ERMAP	266	714	469	606	296	562
ZNF691	672	912	701	305	119	234
SLC2A1	3587	5754	3951	5247	4172	3866
FLJ32224	18	14	6	55	23	39
FAM183A	0	2	6	0	0	2
EBNA1BP2	3200	3399	4513	3249	522	3099
WDR65	64	43	59	80	16	184
TMEM125	48	23	40	1271	94	493
C1orf210	0	0	0	4	0	0
TIE1	728	1357	1241	950	409	1114
MPL	54	36	61	132	39	203
CDC20	1484	1529	129	70	14	96
ELOVL1	820	1209	1142	5051	641	1747
MED8	1595	1769	1723	1565	375	1447
SZT2	6744	9855	7092	3017	725	2644
HYI	0	0	0	0	0	0
PTPRF	21709	24027	23493	9697	2492	12103
KDM4A	10724	12939	13294	1915	448	2002
LOC100132774	93	122	92	38	12	47
ST3GAL3	2827	2787	3871	2283	755	1927
ARTN	155	89	124	40	8	31
