gene	logFC	P.Value	adj.P.Val
GPR37L1	-7.22745766702152	7.49773811488364e-07	0.000326870141233448
KLK7	-8.95852303142893	8.61940993301028e-07	0.000350353050007868
LPAR2	6.65735390080941	8.66679749624409e-07	0.000350353050007868
ZNF300	6.54801776448845	9.03871026713937e-07	0.000350353050007868
ERMN	-7.88358717740631	9.0470453066902e-07	0.000350353050007868
LINC00320	-8.16998579756107	9.10075011090403e-07	0.000350353050007868
MIR2682	5.90198543648718	9.58100978300614e-07	0.000350353050007868
ADAMTS7	6.3545134985752	9.90039208257386e-07	0.000350353050007868
PLA2G5	-7.57469204468535	1.00024510170555e-06	0.000350353050007868
HLA-F	-5.60584444202605	1.0155380637819e-06	0.000350353050007868
PPP1R18	6.0729401710119	1.0300334815973e-06	0.000350353050007868
PRR18	-7.04116512991784	1.04095741085824e-06	0.000350353050007868
CHRNB4	5.69649460504823	1.04405577970025e-06	0.000350353050007868
AURKB	8.47375268444986	1.05701120064282e-06	0.000350353050007868
MN1	6.20745773527947	1.06543079885753e-06	0.000350353050007868
EZH2	6.40066824312043	1.07572451226339e-06	0.000350353050007868
MIR17HG	5.60533549918907	1.08384400578421e-06	0.000350353050007868
MFAP2	6.85835669720772	1.09174972743408e-06	0.000350353050007868
SERINC2	6.07114448898624	1.10500340726939e-06	0.000350353050007868
DLGAP5	8.83638473231631	1.16748466316599e-06	0.000364638568080769
AIM2	7.7496989990657	1.24173651447411e-06	0.000382126151498313
AZGP1	-6.91831621675152	1.49421132755786e-06	0.000452266538610723
SLC34A2	5.49422446538704	1.53065238924677e-06	0.000452266538610723
KRT17	-7.61916373343055	1.53449891242289e-06	0.000452266538610723
DNAJC5G	-7.17086816209208	1.67677281942472e-06	0.000481744024750215
PYGO1	5.46942840552036	1.68176441700757e-06	0.000481744024750215
BACH2	6.74481943485007	1.72001506559763e-06	0.000481744024750215
HPR	-6.68173879171075	1.72659857862306e-06	0.000481744024750215
LMNB1	5.98380591834083	1.81064663929299e-06	0.000498547257550594
CRYM-AS1	5.83212856639297	1.83569142480462e-06	0.000498878944876122
MYBL2	8.60183147446649	1.88161054771775e-06	0.000504802337455663
BHLHE22	6.89285993072907	1.95687488081179e-06	0.000517337419333764
SOHLH1	-6.93779017725477	2.01105706152845e-06	0.000517337419333764
LOC283761	5.71875746218651	2.0333297920654e-06	0.000517337419333764
FABP7	5.25170323300321	2.05965308860314e-06	0.000517337419333764
FNBP1L	5.55585923287903	2.09294104866609e-06	0.000517337419333764
TAL2	6.12523812089301	2.1218844525578e-06	0.000517337419333764
KIF20A	7.58507504610071	2.15006210710743e-06	0.000517337419333764
OR7E12P	6.11816348462949	2.18678631536522e-06	0.000517337419333764
DACT1	6.33901973215172	2.20111323893248e-06	0.000517337419333764
MMP11	5.18713775872553	2.21019178358161e-06	0.000517337419333764
N4BP2	5.55460779057877	2.23274729122828e-06	0.000517337419333764
MYCN	5.99449004910886	2.24819082874744e-06	0.000517337419333764
MMEL1	5.23468857926124	2.25498120625477e-06	0.000517337419333764
RRM2	8.75792905010949	2.27506249919477e-06	0.000517337419333764
VEPH1	5.82134312036384	2.2991675426761e-06	0.000517337419333764
LOC100507003	5.29620245493389	2.32934634424875e-06	0.000517512760633045
CLCA4	-6.62536573952425	2.36658760349664e-06	0.000517512760633045
GJC1	5.11951467000584	2.37413863236033e-06	0.000517512760633045
MIR125B1	5.41245312073294	2.40666161917654e-06	0.000518099291844636
LOC400685	6.24661990090934	2.42634667880982e-06	0.000518099291844636
AVPR1A	5.45601910423284	2.49459246867758e-06	0.00052511109955213
COL4A6	6.19641480238142	2.51555062996361e-06	0.00052511109955213
PTX3	5.72439484124888	2.5595718771729e-06	0.00052511109955213
MCM10	7.19514299837178	2.56114618804296e-06	0.00052511109955213
F2R	5.70860883237159	2.60796812795778e-06	0.00052511109955213
BSPRY	-5.83676170883196	2.61987136570562e-06	0.00052511109955213
MEX3B	5.72380401490991	2.6590844435155e-06	0.00052511109955213
VANGL2	5.20125237361878	2.65993388858481e-06	0.00052511109955213
SNCG	-6.36697102547632	2.73872664887185e-06	0.000534469331876578
LOC100506660	5.42726747210959	2.75841956621764e-06	0.000534469331876578
C20orf195	5.38024109305544	2.83047913779455e-06	0.000543400059059529
EFNA2	5.20596659152677	2.86306632149651e-06	0.000544659325851236
S1PR5	-6.63286319300713	2.90718101731651e-06	0.000548069098814103
GPRIN2	6.98554058565631	2.93646352290054e-06	0.000548646747144792
TSPAN18	5.20024886109547	2.97097814603527e-06	0.000550183085698531
CYP4F11	-6.58945939819238	3.06182670091577e-06	0.000560639114956148
NTSR2	-7.04024532346811	3.08102352193238e-06	0.000560639114956148
TEDDM1	5.31660890358637	3.1111267790776e-06	0.000561236542922223
PBK	7.90767057929866	3.1611926141658e-06	0.000565394159350714
ZNF300P1	5.03663723585837	3.21584287142753e-06	0.000569230907756978
CCNO	-6.18135798027508	3.23704855314347e-06	0.000569230907756978
TTC28	5.66852943490423	3.27278990505913e-06	0.000570542043270901
FBN2	6.01824060122919	3.31493566573488e-06	0.000570542043270901
STK32B	6.00591472312543	3.32629882820654e-06	0.000570542043270901
TSPAN2	5.12290975721951	3.39860267566363e-06	0.000575455063939056
ZBTB8B	5.5546014727081	3.40994112245259e-06	0.000575455063939056
ZNF695	5.54359680176277	3.46530248272203e-06	0.000580119358027529
CDH19	-6.89405635728331	3.54283605585337e-06	0.00058839196273641
GALNTL5	-6.70920887674648	3.6049786894467e-06	0.000593998299648516
LOC100507053	5.14801473253528	3.70557135660958e-06	0.000605803017253219
UBE2C	8.23529695202238	3.94119936567669e-06	0.000634731013732521
POU3F2	4.97542533137347	3.95863081306648e-06	0.000634731013732521
GTF2H4	4.80220369056841	3.97351442220015e-06	0.000634731013732521
WNT10A	-5.72503697383737	4.03716505805326e-06	0.000640013000036534
TMSB15B	5.21471299556879	4.1678009476654e-06	0.000650035937305689
APOL4	4.88593879179212	4.18382951740252e-06	0.000650035937305689
CSRP2	5.75617978097753	4.19357983065412e-06	0.000650035937305689
CASC5	8.25625007950857	4.39803874326261e-06	0.000676715873099363
TROAP	8.26607619279948	4.44930968626597e-06	0.000679607697042348
TEKT2	4.84106118440057	4.57872322493167e-06	0.000694306972499422
SOX5	5.63572799721587	4.72210950713378e-06	0.000710898298894111
PLEKHG2	4.95144049192308	4.78515720562591e-06	0.000710926464290012
KIAA0408	5.45861045212511	4.79024330808046e-06	0.000710926464290012
C20orf166-AS1	-6.51326498002573	4.88179115345076e-06	0.000713141320498149
AGXT2L1	-7.33763822679869	4.9051593065539e-06	0.000713141320498149
TCF19	5.72710576146925	4.90740467130524e-06	0.000713141320498149
B3GNT5	5.1920947653561	4.96636786813193e-06	0.000714078927618126
MIR130B	4.79837747946194	4.98210472294019e-06	0.000714078927618126
HAS3	5.8610641527562	5.04229600026717e-06	0.000717789701371366
MAG	-9.52494781454814	5.28097577637584e-06	0.000745404051858363
CKAP2L	6.58792592806816	5.30752192138469e-06	0.000745404051858363
MRO	-5.5475997958702	5.56491735528681e-06	0.00077313663610009
AUTS2	5.00149497800349	5.57887948251522e-06	0.00077313663610009
ZNF578	5.10772010260805	5.79276658419392e-06	0.000795170250265953
SFTPC	-5.84377774257263	5.85151023860951e-06	0.000795170250265953
DCHS1	4.72608466643135	5.85186937498599e-06	0.000795170250265953
ASB2	-5.96158803288134	5.8969090328611e-06	0.000796120764010654
IGDCC3	4.79382336353729	5.99124114857281e-06	0.000803671232532274
MELK	7.64180609315882	6.1283630220263e-06	0.000816828819101416
PLEKHB1	-5.13472569245237	6.1811108679748e-06	0.000818645101412915
CPXM1	5.74878594860615	6.24219105845513e-06	0.000821535157793913
HAMP	-4.6464039608888	6.4550703251888e-06	0.00084424251015563
HSD11B1	-7.62034883579438	6.49842297181743e-06	0.00084463353483386
MT1G	-7.82035461407208	6.55636875939766e-06	0.000846904769500959
RNF122	5.05501529477712	6.7491056408884e-06	0.000851738891135294
NYNRIN	4.69163403470681	6.753997044611e-06	0.000851738891135294
CEP55	6.98529050043563	6.77261478486873e-06	0.000851738891135294
GPR126	5.18659914777695	6.78340691312006e-06	0.000851738891135294
AQP4	-5.90867630303965	6.82684046036336e-06	0.000851738891135294
LINC00299	-5.20169144660308	6.85788975395237e-06	0.000851738891135294
CDCA2	7.21007274518429	6.87870938554261e-06	0.000851738891135294
LINC00092	-6.32240875294533	7.13058713646279e-06	0.000870377034866754
AIFM3	-5.163595158557	7.19138613191639e-06	0.000870377034866754
PLP1	-6.83187861410458	7.20922362104201e-06	0.000870377034866754
KLK5	-6.24492084500221	7.25135761495046e-06	0.000870377034866754
VCAN	4.79906935934202	7.28181893148514e-06	0.000870377034866754
DOK5	4.86151861477723	7.31365127803842e-06	0.000870377034866754
HRK	-5.52038953028992	7.32038412197977e-06	0.000870377034866754
TRIOBP	4.78709489456732	7.38288852129908e-06	0.000872849294896636
PADI2	-5.14619946651686	7.62299541375993e-06	0.000892018516190085
C6orf25	4.65405767703657	7.63028358969824e-06	0.000892018516190085
ESCO2	6.99362778330318	7.79253268213276e-06	0.000905925216146168
KIAA1211	5.61834652683607	7.85711649120211e-06	0.000908210504954283
LOC729987	4.52074747474036	7.898992253736e-06	0.000908210504954283
IGFBPL1	7.57094524437967	8.10912780144431e-06	0.000927276548486468
HSPB8	-6.62123718143502	8.19299773322163e-06	0.000931775383507586
CBX2	5.82465693419501	8.24024524910588e-06	0.000932083092339403
NBEAL1	4.68345579143543	8.34019246229945e-06	0.000938316491753109
FNDC1	6.01077999590596	8.48769949002461e-06	0.000944252329086195
ARHGAP36	-4.85707706914944	8.52348920298495e-06	0.000944252329086195
OR10V2P	5.38975970645318	8.52832314810718e-06	0.000944252329086195
TET1	4.89384837274973	8.63611702646034e-06	0.000951154657345837
KLHL1	6.48224597349153	8.73498086813614e-06	0.000956565381563579
FAM60A	4.82100160830089	8.77666793750393e-06	0.000956565381563579
CBLB	4.87534483609195	8.97295804314464e-06	0.000966401054947405
ZNF117	4.43302865254463	8.97354148960571e-06	0.000966401054947405
NWD1	-4.93118406399624	9.00545759890777e-06	0.000966401054947405
ALDOC	-4.82966714702467	9.15060125097492e-06	0.000976966743764802
AQPEP	5.47461708516911	9.29352017725867e-06	0.000979650098329165
CCNB2	6.3271703017522	9.30463274942478e-06	0.000979650098329165
SPARCL1	-5.65722049215554	9.31617937338736e-06	0.000979650098329165
GPR161	5.52722048124855	9.38664430280238e-06	0.000982124593402213
YBX1	4.61279505785303	9.50614920749971e-06	0.000986731730326295
CLMP	6.97553985143063	9.56401457038932e-06	0.000986731730326295
EPHA3	6.1164374346761	9.57213711441451e-06	0.000986731730326295
MLXIPL	-5.6356249079527	9.73089084062971e-06	0.000998179518289301
BHMT2	-4.80894709937105	9.84782765030095e-06	0.0010037020966104
AURKAPS1	4.4508708238836	9.88786941576245e-06	0.0010037020966104
GBP1P1	-4.61744481066214	9.92862152338492e-06	0.0010037020966104
IL17RD	4.7522264296212	1.0040535206931e-05	0.00100666177346124
EGR4	-6.6303992620008	1.00541102290643e-05	0.00100666177346124
C4orf6	4.34055801428612	1.0295680019864e-05	0.0010259400004556
CD22	-7.0904113023524	1.04837064738952e-05	0.00103184030865181
EIF4EBP1	4.69909512566652	1.04952742309937e-05	0.00103184030865181
ITPKA	-5.52924817374831	1.05028187777327e-05	0.00103184030865181
SLC44A5	5.17833832553613	1.05608737863173e-05	0.00103269553669382
XIRP2	5.47882251975936	1.06908332983105e-05	0.00104054129116487
C12orf39	-5.93742984668551	1.07717465293428e-05	0.0010433759200256
PAFAH1B3	4.57647008464645	1.08196776567693e-05	0.0010433759200256
PTCHD2	4.87579507835426	1.09476213617154e-05	0.00105087121383146
TTK	5.70533597119439	1.12333218153741e-05	0.00106518636749191
NR5A2	4.61204966808183	1.13164794529825e-05	0.00106518636749191
FGF1	-5.32508737965064	1.13189797361822e-05	0.00106518636749191
STC1	5.45692517915865	1.13653030140825e-05	0.00106518636749191
NUSAP1	6.34096512899525	1.13771094927109e-05	0.00106518636749191
DCAF12L1	4.70925085409202	1.14534619269289e-05	0.00106518636749191
TUBB	4.86235525831178	1.15451416006547e-05	0.00106518636749191
TGFBR1	4.38583415267022	1.15635545941352e-05	0.00106518636749191
DAB1	5.88383267725801	1.15821072637428e-05	0.00106518636749191
TPD52L1	-5.35082363153753	1.16057771092495e-05	0.00106518636749191
HAR1B	-5.20261680750814	1.16959787598285e-05	0.00106564136123574
MYCL1	4.74592621131793	1.17238099146182e-05	0.00106564136123574
RAI14	4.47841409471001	1.17635073327657e-05	0.00106564136123574
RAMP1	-4.6850320626034	1.18905610171453e-05	0.00107059076038611
NHSL1	4.73538044016895	1.19204648365652e-05	0.00107059076038611
PRSS12	5.43673470330582	1.21596650158379e-05	0.0010827895386166
KLK6	-8.1260331990604	1.2159779297281e-05	0.0010827895386166
APOD	-4.71743648517618	1.25250992660393e-05	0.00111059418322516
KRT81	-4.5960015187612	1.26186345990485e-05	0.00111416686759362
RAPGEF4	-4.47052843545845	1.27369502439217e-05	0.00111988832270717
SNORD97	4.55273716091727	1.28556652979241e-05	0.00112559687039481
BEND3	4.82924495357953	1.30030888396466e-05	0.00113256965093912
BCAS1	-5.07882440498728	1.31718241589366e-05	0.00113256965093912
FAM64A	7.32332633223355	1.31923850643731e-05	0.00113256965093912
KCNE1	5.46782026604832	1.32058784590467e-05	0.00113256965093912
TMEM235	-6.82471622562777	1.32059158381509e-05	0.00113256965093912
PEBP4	-4.60194148912956	1.33915996236335e-05	0.00114363324013806
ZNF462	4.69354797136019	1.34627985131702e-05	0.00114363324013806
PPP4R4	-6.32723750898912	1.3498872709266e-05	0.00114363324013806
PLEKHG4B	5.9080949918328	1.35638024072877e-05	0.00114450052086654
FAM83B	4.69327269507078	1.36456290410225e-05	0.00114678085667646
KIF26A	4.75109790832907	1.3759666513083e-05	0.0011517391258111
ZNF677	4.38869747379457	1.38872743260775e-05	0.00115778925317728
LCN15	-4.9661663482925	1.40579353551903e-05	0.00116736648905838
LOC284576	4.80180247407307	1.42033256708613e-05	0.00117477783789899
CD244	-4.82382117861959	1.49175317683243e-05	0.00122896461649744
FBLIM1	4.24630744558692	1.50003796504324e-05	0.00122896461649744
PCSK9	5.62226302015556	1.50346431149452e-05	0.00122896461649744
NKAIN1	6.15885475846002	1.51896401114904e-05	0.00123210599761835
FAM126A	4.70882537119187	1.52209576155835e-05	0.00123210599761835
TSKU	4.40430763870615	1.52672483194386e-05	0.00123210599761835
PXDN	4.43028677441542	1.53085902408855e-05	0.00123210599761835
SLC2A4	-4.7310847635694	1.54619440587452e-05	0.00123611918416454
PCDHGB3	4.68108973304882	1.5476594965646e-05	0.00123611918416454
ATP11C	4.24080618258507	1.56577406761857e-05	0.00124353815812191
TUBB2B	4.73623090732668	1.57716622303468e-05	0.00124353815812191
C19orf77	-5.61814840248126	1.57812953590605e-05	0.00124353815812191
ZNF93	4.46596623335783	1.58071848447113e-05	0.00124353815812191
S100B	-4.89689206977266	1.60252819151132e-05	0.00124724325924245
VAV2	4.16617485039614	1.60446126304357e-05	0.00124724325924245
ESPL1	7.68163135333284	1.60737855720109e-05	0.00124724325924245
FGD3	4.56406856887173	1.6092692344235e-05	0.00124724325924245
LINC00461	4.18120362527266	1.61590452069757e-05	0.00124776450184935
SCN1B	-5.97365206179052	1.64620898357022e-05	0.00126649151434524
AGT	-6.47798526231679	1.66285666120078e-05	0.00127461313158563
KCTD12	4.57866729138724	1.69305694614891e-05	0.00128581694012817
LOC283194	5.70865755414508	1.6978918616815e-05	0.00128581694012817
SCUBE3	4.62275255500425	1.69836618147402e-05	0.00128581694012817
ATAT1	4.93727704516326	1.70205147861752e-05	0.00128581694012817
PROM1	4.6434632228737	1.76111332324204e-05	0.00132564954684039
SLC22A9	-4.9423409546278	1.77141846607165e-05	0.00132862734125503
CNN1	-4.75786906811527	1.80825031815709e-05	0.00134128073453594
HJURP	6.84958151889274	1.82247019006141e-05	0.00134128073453594
ADAMTSL3	4.60091052980563	1.82708012126115e-05	0.00134128073453594
ZSCAN23	4.80862896567159	1.83494157038038e-05	0.00134128073453594
PYGM	-4.81241203447636	1.83619534691246e-05	0.00134128073453594
SNORA47	4.55222851659816	1.8390234497884e-05	0.00134128073453594
LOC100506071	5.20804620047872	1.83976218377769e-05	0.00134128073453594
ZNF724P	4.77232952064003	1.84280543977717e-05	0.00134128073453594
C15orf42	4.80607099644125	1.84722907559305e-05	0.00134128073453594
EDARADD	4.90954146288739	1.85278086210661e-05	0.00134128073453594
LPL	4.67122456254757	1.85879486292375e-05	0.00134128073453594
KIRREL	4.3832295872406	1.8980364025791e-05	0.00136489036977217
GPR64	6.60130763346715	1.91764161739612e-05	0.00137426604402847
KIAA0748	-8.13844744244503	1.94550912212611e-05	0.00138389620024509
CRLF1	-4.11168042379403	1.94965349450671e-05	0.00138389620024509
FGFBP3	4.25226380837491	1.95091933036557e-05	0.00138389620024509
LOC646627	-4.98239343887808	1.95753610454653e-05	0.00138389866634259
NEIL3	6.80539414976214	1.97185594462244e-05	0.00138554027210875
KIF26B	4.63723582158493	1.97310045440317e-05	0.00138554027210875
IGF2	5.77206041236799	1.99634178439902e-05	0.00139537634053057
PAPPA2	6.24335966083625	2.00044395564929e-05	0.00139537634053057
SYT6	5.29406853819326	2.01997792171859e-05	0.00140045067644479
RUNX1T1	5.51382379920791	2.02110343250658e-05	0.00140045067644479
RND3	4.65029797074578	2.07879000966566e-05	0.00143566863835853
NCAPG	5.44183328689423	2.10353396112346e-05	0.00144708982624505
SMTNL1	4.96101884810535	2.10915797096788e-05	0.00144708982624505
ISLR2	6.29433876300933	2.17143145148687e-05	0.00147996882237934
SMA4	4.24612459618634	2.17237744326507e-05	0.00147996882237934
LOC646736	4.04309433898166	2.18015998992307e-05	0.00147996882237934
HELLS	5.23198512557369	2.18536923499577e-05	0.00147996882237934
HGFAC	4.38771184999133	2.2001013054377e-05	0.00148053848912677
ZNF69	4.78053283169765	2.20036065238662e-05	0.00148053848912677
COL3A1	5.73848072426272	2.2220755223403e-05	0.00149024566699463
LOC100506421	4.16649139452231	2.22903036303793e-05	0.00149024566699463
SLC30A3	-6.64642032159259	2.27645421263282e-05	0.00151710448578199
TMEM144	-6.16181569434773	2.33846969440657e-05	0.00155348624841752
NDC80	6.34861537924885	2.36777017993544e-05	0.00156797337928256
DMKN	-4.66906484852724	2.38218759429375e-05	0.00157254440372842
HIST1H3H	4.30354757682321	2.39522743972008e-05	0.00157618016992397
WEE1	4.93422902123635	2.41665281840813e-05	0.00158063986063033
PCP2	4.30148215483524	2.42086662572336e-05	0.00158063986063033
HMGA2	5.98920676595072	2.43027252299627e-05	0.00158063986063033
PCK1	-4.03091904697328	2.43260626770335e-05	0.00158063986063033
XPR1	5.09158314492288	2.43977193435725e-05	0.00158063986063033
FSCN3	4.61946462805834	2.47216001666352e-05	0.00159275197480327
LOC100190938	4.43465683465763	2.47369010709674e-05	0.00159275197480327
MSC	-4.92942094261717	2.4900497430818e-05	0.00159836751299785
ZNF551	4.29575804163364	2.50632510456343e-05	0.00160092851492638
PELI2	4.02194007951131	2.51424276690505e-05	0.00160092851492638
RSPH9	4.1859287450238	2.5169907359781e-05	0.00160092851492638
LOC150568	4.94020934899968	2.52949669495533e-05	0.00160400751026167
ULBP1	6.82718685449537	2.58724806064811e-05	0.00163567229356865
KRBA2	4.58094953965137	2.59733504164289e-05	0.00163710340606684
GNG8	4.68231006836354	2.62585524270624e-05	0.00164144735214096
BIRC5	6.32685731397841	2.62652105858764e-05	0.00164144735214096
HES7	4.20060965866415	2.63032519708963e-05	0.00164144735214096
CCDC71L	4.65477891330247	2.63560312682482e-05	0.00164144735214096
FER	4.49741860192561	2.68458598664294e-05	0.00166625576736941
TNNT2	-5.29687137600725	2.69136217801234e-05	0.00166625576736941
MIR135B	4.17140696978604	2.70865490831125e-05	0.00167201512127792
TMEM213	5.39181016911506	2.73628180924411e-05	0.00168323976432935
LOC641367	4.21573514598418	2.74503601275469e-05	0.00168323976432935
ZNF492	4.4120778301328	2.75097008219745e-05	0.00168323976432935
DYRK2	4.86440578691147	2.79382241322251e-05	0.0017044760297112
TAS2R19	4.23214690226227	2.8141873411717e-05	0.00170915103847661
GMIP	4.93544349298174	2.82384757904199e-05	0.00170915103847661
CARHSP1	4.27427644935853	2.82598804985619e-05	0.00170915103847661
SNX29P1	5.0746672247327	2.85227977771777e-05	0.00172008088266634
PCDHB19P	5.04820879361348	2.87991476024468e-05	0.00173175564002529
SNORD12	4.73281501381745	2.90443336446349e-05	0.00173669352403396
ETV2	5.18240487492854	2.90472490400405e-05	0.00173669352403396
HPSE2	-6.48036661146759	2.93118722114493e-05	0.00174670821173986
ALDH1A1	-6.44085528637119	2.94264502915438e-05	0.00174670821173986
NPR3	5.28545779199206	2.94651628951624e-05	0.00174670821173986
POU3F4	4.36411831389763	2.98724050565089e-05	0.00176584731133476
ANKRD36BP1	4.04847303594516	3.02795541389847e-05	0.0017809609660769
ACMSD	4.76973070231997	3.0298294175828e-05	0.0017809609660769
H2BFXP	4.692742468593	3.06219127513967e-05	0.00178548574523093
ZNF431	4.29371208925326	3.06280111660013e-05	0.00178548574523093
GPR20	-4.56275010304439	3.07299130351071e-05	0.00178548574523093
SDC1	4.72489089279167	3.07876013183841e-05	0.00178548574523093
DNMT3B	4.58998869328747	3.08018901858151e-05	0.00178548574523093
CORO6	-5.004250743399	3.12251355319563e-05	0.00180501985122021
TLE3	4.01009981653049	3.13286449613281e-05	0.00180601439245386
CD93	4.21666209281685	3.16454151118182e-05	0.00181187962192546
GYLTL1B	4.6418823850282	3.16605547927921e-05	0.00181187962192546
CYS1	-4.16358087273109	3.16901434399656e-05	0.00181187962192546
DKFZP434I0714	4.38000908360092	3.18990898518381e-05	0.00181885655106148
ZNF586	4.24076135346892	3.22841834068182e-05	0.00183158832615992
LOC644961	4.01580442352271	3.22974334489635e-05	0.00183158832615992
CES5AP1	4.0026320414872	3.25087863672366e-05	0.00183859152302917
NRGN	-6.12951311053568	3.28420783888706e-05	0.00185204697343758
SEMA3C	5.52764712473769	3.29585779856045e-05	0.00185204697343758
DNM1P41	4.12727892034325	3.30122106992362e-05	0.00185204697343758
INHBA	6.3478123148355	3.33260984320539e-05	0.00185634999707151
KDM6B	4.25519281148639	3.33493990899119e-05	0.00185634999707151
SNCAIP	4.23690721285123	3.33905533011962e-05	0.00185634999707151
C15orf32	3.88293564990859	3.34437517392699e-05	0.00185634999707151
ZNF90	5.18673371691301	3.35806709534907e-05	0.00185901883696494
DEPDC1B	4.64510481197106	3.38950635766336e-05	0.00186833393103101
CCL25	4.28173666585102	3.40085506944439e-05	0.00186833393103101
ALDH1L1	-5.11296920233864	3.40698537912009e-05	0.00186833393103101
CELSR1	5.8789436929291	3.41060671726009e-05	0.00186833393103101
ASPM	7.14524992734951	3.43328343912811e-05	0.00187194454414551
ASPA	-5.85541554010042	3.44065559585262e-05	0.00187194454414551
FOXO3B	4.69705012660129	3.44403445233691e-05	0.00187194454414551
MIR25	4.38408488585343	3.47690361032196e-05	0.00187982955380336
PPAP2C	-5.41438064775338	3.4813933071021e-05	0.00187982955380336
MLLT3	4.79824213745423	3.48549109660568e-05	0.00187982955380336
BUB1B	6.34735836620705	3.53256452502509e-05	0.00189154876593862
C14orf23	4.67763736258558	3.54967204060401e-05	0.00189154876593862
UAP1L1	-4.23971157594925	3.56251043402802e-05	0.00189154876593862
DPYSL5	5.07781784074232	3.56832553822823e-05	0.00189154876593862
ADAMTS12	5.80642023642624	3.57259867940968e-05	0.00189154876593862
SYT12	-5.21667362157192	3.58054647318883e-05	0.00189154876593862
IDH1	4.08858580726067	3.58125587285019e-05	0.00189154876593862
ATAD2B	4.02771675884036	3.588095326811e-05	0.00189154876593862
LRRC16B	4.48924214938708	3.59376992204609e-05	0.00189154876593862
MYH11	-4.96128850431218	3.60425418145804e-05	0.00189154876593862
KLHL14	6.24461284450444	3.60665180927798e-05	0.00189154876593862
OTOR	6.00642599051537	3.6172581959372e-05	0.00189236862520455
LOC153469	4.25564764691859	3.65941986641773e-05	0.00190965137467974
LINC00473	-5.02197365198251	3.67482912446686e-05	0.00191292224523864
PRKX	4.12824297919651	3.71392839357645e-05	0.00192032921851938
IGSF3	5.6635936536656	3.73757557997796e-05	0.00192032921851938
MDK	4.14788123235389	3.77061119825454e-05	0.00192032921851938
LDHD	-4.02921708078578	3.77099547370488e-05	0.00192032921851938
LCN1	-3.7717165207521	3.77766216528626e-05	0.00192032921851938
